TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2025,1,18,16,0,78XX ELLIOTT ST [IFO 7850 ELLIOTT ST],Victoria-Fraserview,495993.1332,5451203.0743
Theft from Vehicle,2025,1,2,19,50,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2025,1,2,22,14,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2025,1,2,19,0,7XX CAMBIE ST,Central Business District,491758.1393,5458504.1274
Theft from Vehicle,2025,1,22,16,0,7XX CAMBIE ST,Central Business District,491758.1393,5458504.1274
Theft from Vehicle,2025,1,29,16,50,7XX CARDERO ST,West End,490398.4733,5459663.4339
Theft from Vehicle,2025,1,3,1,38,7XX E 28TH AVE,Kensington-Cedar Cottage,493536.6582,5454747.7303
Theft from Vehicle,2025,1,17,17,0,7XX E 32ND AVE,Kensington-Cedar Cottage,493426.262,5454326.5545
Theft from Vehicle,2025,1,17,20,52,7XX GRANVILLE ST,Central Business District,491292.7916,5458742.3123
Theft from Vehicle,2025,1,3,9,35,7XX HORNBY ST,Central Business District,491171.9882,5458918.1538
Theft from Vehicle,2025,1,3,18,0,7XX HORNBY ST,Central Business District,491171.9882,5458918.1538
Theft from Vehicle,2025,1,5,13,42,7XX HORNBY ST,Central Business District,491171.9882,5458918.1538
Theft from Vehicle,2025,1,20,10,0,7XX HORNBY ST,Central Business District,491171.9882,5458918.1538
Theft from Vehicle,2025,1,21,7,30,7XX HORNBY ST,Central Business District,491171.9882,5458918.1538
Theft from Vehicle,2025,1,23,2,6,7XX HORNBY ST,Central Business District,491171.9882,5458918.1538
Theft from Vehicle,2025,1,3,21,25,7XX POWELL ST,Strathcona,493545.7215,5458923.1468
Theft from Vehicle,2025,1,10,8,0,7XX RICHARDS ST,Central Business District,491445.7352,5458613.862
Theft from Vehicle,2025,1,7,19,0,7XX RICHARDS ST,Central Business District,491447.6828,5458615.8119
Theft from Vehicle,2025,1,17,11,40,7XX TEMPLETON DR,Grandview-Woodland,495654.5945,5458388.7117
Theft from Vehicle,2025,1,17,12,11,7XX TERMINAL AVE,Strathcona,493541.2994,5457587.2146
Theft from Vehicle,2025,1,6,0,0,7XX UNION ST,Strathcona,493482.8422,5458301.9292
Theft from Vehicle,2025,1,9,15,0,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.8391
Theft from Vehicle,2025,1,11,0,10,81XX POPLAR ST,Sunset,493200.8765,5450988.0903
Theft from Vehicle,2025,1,24,18,0,83XX PRINCE EDWARD ST,Sunset,492840.9365,5450874.3179
Theft from Vehicle,2025,1,10,3,0,84XX ONTARIO ST,Marpole,492218.3141,5450629.5443
Theft from Vehicle,2025,1,8,1,0,86XX MONTCALM ST,Marpole,490089.4939,5450641.3217
Theft from Vehicle,2025,1,28,12,21,89XX STANLEY PARK DR,Stanley Park,489232.626,5460021.6542
Theft from Vehicle,2025,1,25,18,15,8X EXPO BLVD,Central Business District,492197.8484,5458412.4579
Theft from Vehicle,2025,1,11,1,9,8XX E 63RD AVE,Sunset,493635.4181,5451136.5584
Theft from Vehicle,2025,1,27,16,0,8XX E CORDOVA ST,Strathcona,493684.8568,5458809.1813
Theft from Vehicle,2025,1,21,9,30,8XX GRIFFITHS WAY,Central Business District,492026.4501,5458303.3812
Theft from Vehicle,2025,1,24,7,17,8XX HAMILTON ST,Central Business District,491457.0123,5458353.6254
Theft from Vehicle,2025,1,14,18,0,8XX HAMILTON ST,Central Business District,491524.8995,5458410.9269
Theft from Vehicle,2025,1,18,12,14,8XX HELMCKEN ST,Central Business District,490858.6871,5458459.8961
Theft from Vehicle,2025,1,1,0,0,8XX NICOLA ST,West End,490461.0548,5459543.3636
Theft from Vehicle,2025,1,21,7,45,8XX NICOLA ST,West End,490461.0548,5459543.3636
Theft from Vehicle,2025,1,24,19,0,8XX SEYMOUR ST,Central Business District,491316.0496,5458632.0695
Theft from Vehicle,2025,1,19,8,7,8XX W 12TH AVE,Fairview,491033.0002,5456432.316
Theft from Vehicle,2025,1,20,4,15,8XX W 66TH AVE,Marpole,490939.0549,5450957.6902
Theft from Vehicle,2025,1,30,12,25,8XX W GEORGIA ST,Central Business District,491279.7136,5459000.0143
Theft from Vehicle,2025,1,2,15,50,8XX W HASTINGS ST,Central Business District,491623.7342,5459283.1514
Theft from Vehicle,2025,1,10,16,51,8XX W HASTINGS ST,Central Business District,491623.7342,5459283.1514
Theft from Vehicle,2025,1,11,19,30,9X W PENDER ST,Central Business District,492183.8782,5458709.2725
Theft from Vehicle,2025,1,4,0,0,9XX BROUGHTON ST,West End,490327.1907,5459236.165
Theft from Vehicle,2025,1,10,11,4,9XX BROUGHTON ST,West End,490327.1907,5459236.165
Theft from Vehicle,2025,1,17,8,0,9XX CANADA PL,Central Business District,491607.648,5459491.1327
Theft from Vehicle,2025,1,14,8,30,9XX CANADA PL,Central Business District,491688.8172,5459447.7285
Theft from Vehicle,2025,1,6,4,0,9XX CANADA PL,Central Business District,491688.8495,5459447.7094
Theft from Vehicle,2025,1,10,8,10,9XX DENMAN ST,West End,489957.4887,5459678.1026
Theft from Vehicle,2025,1,22,11,48,9XX HAMILTON ST,Central Business District,491348.2758,5458288.6296
Theft from Vehicle,2025,1,24,17,0,9XX HOMER ST,Central Business District,491276.3484,5458299.957
Theft from Vehicle,2025,1,8,16,42,9XX HOWE ST,Central Business District,491092.5991,5458690.3799
Theft from Vehicle,2025,1,6,12,0,9XX MAINLAND ST,Central Business District,491438.8659,5458327.549
Theft from Vehicle,2025,1,18,22,0,9XX NELSON ST,Central Business District,490851.9591,5458711.7068
Theft from Vehicle,2025,1,29,17,0,9XX SALSBURY DR,Grandview-Woodland,495091.5123,5458211.1613
Theft from Vehicle,2025,1,4,21,30,9XX SEYMOUR ST,Central Business District,491207.3693,5458509.5214
Theft from Vehicle,2025,1,26,19,30,9XX SEYMOUR ST,Central Business District,491208.2714,5458510.421
Theft from Vehicle,2025,1,21,12,15,9XX SEYMOUR ST,Central Business District,491208.5107,5458523.5738
Theft from Vehicle,2025,1,24,15,30,9XX SEYMOUR ST,Central Business District,491239.4264,5458541.4923
Theft from Vehicle,2025,1,8,16,0,9XX W CORDOVA ST,Central Business District,491637.4921,5459386.5836
Theft from Vehicle,2025,1,5,12,30,9XX W GEORGIA ST,Central Business District,491259.2299,5459007.7464
Theft from Vehicle,2025,1,14,16,15,9XX W GEORGIA ST,Central Business District,491260.6883,5459006.2925
Theft from Vehicle,2025,1,2,18,45,CAMBIE ST / WATER ST,Central Business District,492085.8221,5459067.7424
Theft from Vehicle,2025,1,28,7,45,CAMBIE ST / WATER ST,Central Business District,492085.8221,5459067.7424
Theft from Vehicle,2025,1,28,16,30,CARRALL ST / PACIFIC BLVD,Central Business District,492257.5987,5458266.5561
Theft from Vehicle,2025,1,12,13,30,CARTWRIGHT ST / OLD BRIDGE ST,Fairview,490167.7578,5457492.0892
Theft from Vehicle,2025,1,22,12,25,DURANLEAU ST / JOHNSTON ST,Fairview,490111.9311,5457774.9515
Theft from Vehicle,2025,1,13,3,43,E 18TH AVE / FRASER ST,Riley Park,493454.2445,5455766.5656
Theft from Vehicle,2025,1,20,15,0,E 3RD AVE / NOOTKA ST,Hastings-Sunrise,496980.8643,5457203.0232
Theft from Vehicle,2025,1,27,19,52,E 45TH AVE / MAIN ST,Sunset,492609.254,5452960.3681
Theft from Vehicle,2025,1,28,4,0,E 4TH AVE / NOOTKA ST,Hastings-Sunrise,496979.8181,5457100.214
Theft from Vehicle,2025,1,8,6,30,E CORDOVA ST / GLEN DR,Strathcona,494088.3465,5458798.8034
Theft from Vehicle,2025,1,9,9,0,E CORDOVA ST / HEATLEY AVE,Strathcona,493491.1801,5458819.8106
Theft from Vehicle,2025,1,24,12,42,HELMCKEN ST / RICHARDS ST,Central Business District,491077.8876,5458250.056
Theft from Vehicle,2025,1,11,23,0,HOMER ST / W CORDOVA ST,Central Business District,492003.712,5459040.6801
Theft from Vehicle,2025,1,27,11,21,HOMER ST / W GEORGIA ST,Central Business District,491620.9984,5458653.2413
Theft from Vehicle,2025,1,29,9,0,HORNBY ST / W GEORGIA ST,Central Business District,491266.1029,5459007.3504
Theft from Vehicle,2025,1,3,21,0,MAIN ST / NATIONAL AV,Central Business District,492726.4904,5458024.6745
Theft from Vehicle,2025,1,4,19,10,MAIN ST / PRIOR ST,Central Business District,492731.4661,5458227.7444
Theft from Vehicle,2025,1,18,20,0,MAIN ST / UNION ST,Central Business District,492733.6621,5458331.7978
Theft from Vehicle,2025,1,3,20,0,NANAIMO ST / UPLAND DR,Victoria-Fraserview,495680.2703,5451689.9478
Theft from Vehicle,2025,1,29,17,0,OAK ST / W 14TH AVE,Fairview,490776.1784,5456224.6567
Theft from Vehicle,2025,1,10,17,0,PACIFIC BLVD / PAT QUINN WAY,Central Business District,492167.97,5458269.6515
Theft from Vehicle,2025,1,5,14,5,TAYLOR ST / W PENDER ST,Central Business District,492319.9982,5458667.077
Theft from Vehicle,2025,1,4,11,0,W 4TH AVE / YUKON ST,Mount Pleasant,491800.5133,5457199.6016
Theft from Vehicle,2025,1,25,21,0,W 64TH AVE / YUKON ST,Marpole,491648.1539,5451057.9374
Theft from Vehicle,2025,1,22,0,45,X E CORDOVA ST,Central Business District,492424.9863,5458861.3321
Theft from Vehicle,2025,1,4,18,0,X W 3RD AVE,Mount Pleasant,492377.4519,5457292.343
Theft of Bicycle,2025,1,2,3,46,10XX BURRARD ST,West End,490729.6302,5458622.1395
Theft of Bicycle,2025,1,6,21,4,10XX CANADA PL,Central Business District,491493.3146,5459541.9753
Theft of Bicycle,2025,1,9,12,0,10XX HOWE ST,Central Business District,490922.922,5458529.9935
Theft of Bicycle,2025,1,9,13,14,10XX HOWE ST,Central Business District,490975.869,5458571.0325
Theft of Bicycle,2025,1,11,15,20,11XX BUTE ST,West End,490314.6832,5458811.2906
Theft of Bicycle,2025,1,6,2,40,13XX W PENDER ST,Central Business District,490797.3138,5459620.4887
Theft of Bicycle,2025,1,27,8,45,14XX ANDERSON ST,Fairview,490182.6897,5457688.5242
Theft of Bicycle,2025,1,23,17,13,14XX HOWE ST,Central Business District,490435.076,5458022.9336
Theft of Bicycle,2025,1,27,11,1,15XX E 3RD AVE,Grandview-Woodland,494760.3397,5457225.8055
Theft of Bicycle,2025,1,23,13,7,15XX GRAVELEY ST,Grandview-Woodland,494700.8464,5457527.3117
Theft of Bicycle,2025,1,9,8,37,15XX HARO ST,West End,490386.3557,5459483.2262
Theft of Bicycle,2025,1,6,3,0,15XX HARO ST,West End,490387.9769,5459481.5652
Theft of Bicycle,2025,1,3,22,16,16XX COLUMBIA ST,Mount Pleasant,492047.3233,5457633.5226
Theft of Bicycle,2025,1,11,12,0,16XX JOHNSTON ST [IFO ENTRANCE TO MARKET,Fairview,490173.1805,5457692.293
Theft of Bicycle,2025,1,12,15,20,16XX MAIN ST,Mount Pleasant,492667.3916,5457500.9227
Theft of Bicycle,2025,1,2,17,0,16XX PARKER ST,Grandview-Woodland,494934.9835,5458109.4904
Theft of Bicycle,2025,1,12,16,0,17XX WALLACE ST,West Point Grey,486211.266,5457605.8809
Theft of Bicycle,2025,1,5,15,34,1XX E HASTINGS ST,Central Business District,492637.3376,5458745.7041
Theft of Bicycle,2025,1,28,16,34,1XX KEEFER PL,Central Business District,492124.9427,5458571.5852
Theft of Bicycle,2025,1,3,9,49,1XX SWITCHMEN ST,Mount Pleasant,492580.0037,5457601.6111
Theft of Bicycle,2025,1,16,15,50,1XX W 49TH AVE,Oakridge,492102.3675,5452559.9667
Theft of Bicycle,2025,1,10,14,0,22XX CAMBRIDGE ST,Grandview-Woodland,495693.5087,5459315.5276
Theft of Bicycle,2025,1,26,15,13,22XX E HASTINGS ST,Grandview-Woodland,495660.3565,5458710.4056
Theft of Bicycle,2025,1,26,15,20,22XX E HASTINGS ST,Grandview-Woodland,495665.5285,5458719.5337
Theft of Bicycle,2025,1,7,0,0,22XX W BROADWAY AVE,Kitsilano,488557.9288,5456799.6185
Theft of Bicycle,2025,1,12,9,30,24XX YEW ST,Kitsilano,488697.1007,5456819.4003
Theft of Bicycle,2025,1,6,8,53,26XX E 8TH AVE,Hastings-Sunrise,496321.2528,5456684.581
Theft of Bicycle,2025,1,18,9,45,28XX E HASTINGS ST,Hastings-Sunrise,496612.192,5458707.6331
Theft of Bicycle,2025,1,25,22,26,2XX HOWE ST,Central Business District,491780.4109,5459401.4907
Theft of Bicycle,2025,1,4,13,0,32XX E 16TH AVE,Renfrew-Collingwood,497508.746,5455862.4338
Theft of Bicycle,2025,1,19,16,0,3X SMITHE ST,Central Business District,491788.0426,5458016.558
Theft of Bicycle,2025,1,7,12,52,3XX E BROADWAY AVE,Mount Pleasant,492933.9023,5456669.3903
Theft of Bicycle,2025,1,26,14,0,3XX WATER ST,Central Business District,492076.9246,5459065.5737
Theft of Bicycle,2025,1,14,17,0,48XX ST CATHERINES ST,Kensington-Cedar Cottage,493742.5585,5454246.4313
Theft of Bicycle,2025,1,26,22,0,55XX BRUCE ST,Kensington-Cedar Cottage,494894.4244,5453512.2629
Theft of Bicycle,2025,1,19,6,45,5XX BURRARD ST,Central Business District,491320.8551,5459222.0338
Theft of Bicycle,2025,1,28,8,35,5XX HORNBY ST,Central Business District,491458.9263,5459209.1978
Theft of Bicycle,2025,1,24,17,9,5XX HORNBY ST,Central Business District,491460.5243,5459210.8692
Theft of Bicycle,2025,1,2,19,20,5XX SEYMOUR ST,Central Business District,491708.6831,5459016.3939
Theft of Bicycle,2025,1,21,17,32,5XX SEYMOUR ST,Central Business District,491723.8136,5459031.6335
Theft of Bicycle,2025,1,27,8,56,66XX ARLINGTON ST,Killarney,497910.0874,5452223.2499
Theft of Bicycle,2025,1,3,11,27,6XX E 18TH AVE,Riley Park,493433.9028,5455762.3707
Theft of Bicycle,2025,1,23,17,15,6XX EXPO BLVD,Central Business District,492080.5773,5458435.4767
Theft of Bicycle,2025,1,12,15,15,6XX EXPO BLVD,Central Business District,492087.6904,5458440.4284
Theft of Bicycle,2025,1,19,12,30,6XX EXPO BLVD,Central Business District,492087.6904,5458440.4284
Theft of Bicycle,2025,1,21,10,20,6XX EXPO BLVD,Central Business District,492087.6904,5458440.4284
Theft of Bicycle,2025,1,25,1,14,6XX GRANVILLE ST,Central Business District,491510.5862,5458961.5483
Theft of Bicycle,2025,1,6,20,0,6XX W 14TH AVE,Fairview,491368.1781,5456238.1876
Theft of Bicycle,2025,1,15,13,0,7XX BEATTY ST,Central Business District,491731.7151,5458335.3969
Theft of Bicycle,2025,1,18,12,0,7XX BURRARD ST,West End,491088.4605,5458980.5409
Theft of Bicycle,2025,1,14,17,50,7XX DUNSMUIR ST,Central Business District,491531.2005,5458991.1556
Theft of Bicycle,2025,1,24,16,0,7XX W BROADWAY AVE,Fairview,491262.0542,5456737.453
Theft of Bicycle,2025,1,11,16,18,7XX W GEORGIA ST,Central Business District,491402.7991,5458863.8718
Theft of Bicycle,2025,1,11,19,10,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.8391
Theft of Bicycle,2025,1,11,17,40,7XX W GEORGIA ST,Central Business District,491409.222,5458870.3802
Theft of Bicycle,2025,1,15,10,32,8X W PENDER ST,Central Business District,492206.8702,5458693.4618
Theft of Bicycle,2025,1,14,0,0,8XX HELMCKEN ST,Central Business District,490856.1761,5458475.0793
Theft of Bicycle,2025,1,4,1,0,9XX BEATTY ST,Central Business District,491562.8927,5458167.6202
Theft of Bicycle,2025,1,5,19,0,9XX BURRARD ST,Central Business District,490952.141,5458832.437
Theft of Bicycle,2025,1,8,19,18,9XX ROBSON ST,Central Business District,491089.0072,5458929.7433
Theft of Bicycle,2025,1,19,14,43,9XX TERMINAL AVE,Strathcona,493902.9131,5457453.3292
Theft of Bicycle,2025,1,28,5,20,9XX W BROADWAY AVE,Fairview,490959.969,5456736.8512
Theft of Bicycle,2025,1,12,21,0,MAIN ST / NATIONAL AVE,Central Business District,492726.4842,5458024.6753
Theft of Vehicle,2025,1,3,3,0,10XX MARINASIDE CRES,Central Business District,491399.9852,5457863.3141
Theft of Vehicle,2025,1,7,7,45,10XX SE MARINE DR,Sunset,493756.4143,5450915.9811
Theft of Vehicle,2025,1,23,12,37,10XX SE MARINE DR,Sunset,493873.1291,5450918.867
Theft of Vehicle,2025,1,20,15,46,10XX SE MARINE DR,Sunset,493875.6666,5450918.9295
Theft of Vehicle,2025,1,1,19,0,10XX VICTORIA DR,Grandview-Woodland,495230.1067,5458105.8604
Theft of Vehicle,2025,1,28,16,30,11XX BEACH AVE [IFO 1111 BEACH AVE],West End,490142.3662,5458327.2505
Theft of Vehicle,2025,1,23,21,0,11XX W 11TH AVE,Fairview,490447.8928,5456549.1237
Theft of Vehicle,2025,1,6,9,15,14XX DISCOVERY ST,West Point Grey,485258.4692,5457927.9729
Theft of Vehicle,2025,1,19,23,0,14XX E 18TH AVE,Kensington-Cedar Cottage,494474.0409,5455735.5933
Theft of Vehicle,2025,1,7,20,0,14XX W 72ND AVE,Marpole,489964.2241,5450333.2012
Theft of Vehicle,2025,1,16,19,30,15XX E 1ST AVE,Grandview-Woodland,494657.9239,5457427.0933
Theft of Vehicle,2025,1,21,1,30,18XX TRIUMPH ST,Grandview-Woodland,495039.0564,5458964.486
Theft of Vehicle,2025,1,4,10,30,19XX E 11TH AVE,Kensington-Cedar Cottage,495271.8292,5456412.8181
Theft of Vehicle,2025,1,14,0,31,1XX W HASTINGS ST,Central Business District,492193.6006,5458809.2198
Theft of Vehicle,2025,1,8,8,45,24XX TRINITY ST,Hastings-Sunrise,495893.9586,5459659.2236
Theft of Vehicle,2025,1,1,18,0,25XX GARDEN DR,Kensington-Cedar Cottage,495773.1141,5456607.0481
Theft of Vehicle,2025,1,14,18,55,26XX GLEN DR,Mount Pleasant,494081.3581,5456518.0731
Theft of Vehicle,2025,1,26,14,14,29XX E 22ND AVE,Renfrew-Collingwood,496861.7177,5455322.5066
Theft of Vehicle,2025,1,4,16,0,2X W 41ST AVE,Oakridge,492258.105,5453378.9488
Theft of Vehicle,2025,1,14,15,0,2XX SEMLIN DR,Grandview-Woodland,495379.7693,5458917.7837
Theft of Vehicle,2025,1,8,18,0,30XX E 2ND AVE,Hastings-Sunrise,496990.8199,5457297.6354
Theft of Vehicle,2025,1,2,13,0,33XX E 24TH AVE,Renfrew-Collingwood,497544.9514,5455106.8281
Theft of Vehicle,2025,1,27,8,3,33XX GARDEN DR,Kensington-Cedar Cottage,495763.3147,5455805.9218
Theft of Vehicle,2025,1,14,20,20,34XX CROWLEY DR,Renfrew-Collingwood,497632.6012,5453847.3919
Theft of Vehicle,2025,1,17,16,0,35XX DUMFRIES ST,Kensington-Cedar Cottage,494697.3433,5455630.6365
Theft of Vehicle,2025,1,1,12,0,36XX PRINCE EDWARD ST,Riley Park,492973.9757,5455575.1412
Theft of Vehicle,2025,1,21,7,26,3X E 51ST AVE,Sunset,492344.8793,5452335.8013
Theft of Vehicle,2025,1,13,9,42,3XX MAIN ST,Strathcona,492758.4582,5458838.7313
Theft of Vehicle,2025,1,6,16,25,3XX POWELL ST,Strathcona,492902.0617,5458933.5439
Theft of Vehicle,2025,1,1,17,0,3XX RENFREW ST,Hastings-Sunrise,496795.8959,5458794.7602
Theft of Vehicle,2025,1,24,8,45,45XX QUEBEC ST,Riley Park,492540.1815,5454634.7076
Theft of Vehicle,2025,1,27,20,0,46XX W 16TH AVE,West Point Grey,484548.9587,5456211.8979
Theft of Vehicle,2025,1,7,12,0,46XX YEW ST,Arbutus Ridge,488731.5826,5454666.4659
Theft of Vehicle,2025,1,9,11,7,47XX HAGGART ST,Arbutus Ridge,488424.31,5454634.8302
Theft of Vehicle,2025,1,27,11,0,4XX W 21ST AVE,Riley Park,491642.8808,5455489.8084
Theft of Vehicle,2025,1,7,12,3,5X WATER ST,Central Business District,492340.9258,5459004.113
Theft of Vehicle,2025,1,29,11,47,60XX BALSAM ST,Kerrisdale,488250.6934,5453245.3734
Theft of Vehicle,2025,1,5,9,0,61XX TYNE ST,Killarney,497666.5563,5452818.7157
Theft of Vehicle,2025,1,3,16,0,6XX MOBERLY RD,Fairview,491392.8359,5457133.1464
Theft of Vehicle,2025,1,12,15,12,7XX BURRARD ST,West End,491089.0068,5458981.0764
Theft of Vehicle,2025,1,6,1,0,84XX MAIN ST,Sunset,492538.8805,5450620.4762
Theft of Vehicle,2025,1,14,12,52,8XX W 12TH AVE,Fairview,491033.0002,5456432.316
Theft of Vehicle,2025,1,28,12,0,9XX CANADA PL,Central Business District,491612.8672,5459491.059
Theft of Vehicle,2025,1,30,15,20,E 49TH AVE / VICTORIA DR,Victoria-Fraserview,495211.6049,5452489.3887
Theft of Vehicle,2025,1,17,14,0,FIR ST / W 2ND AVE,Fairview,489757.903,5457448.6571
Vehicle Collision or Pedestrian Struck (with Fatality),2025,1,8,21,42,2XX PRIOR ST,Strathcona,492824.0,5458225.0
Vehicle Collision or Pedestrian Struck (with Injury),2025,1,16,16,41,11XX BLOCK MELVILLE ST,Central Business District,491102.0,5459334.0
Vehicle Collision or Pedestrian Struck (with Injury),2025,1,3,20,45,11XX E 59TH AVE,Sunset,493966.0,5451521.0
Vehicle Collision or Pedestrian Struck (with Injury),2025,1,20,9,31,12XX BLOCK E BROADWAY AVE,Mount Pleasant,494215.0,5456630.0
Vehicle Collision or Pedestrian Struck (with Injury),2025,1,2,15,13,12XX BLOCK GRANVILLE ST,Central Business District,490802.0,5458255.0
Vehicle Collision or Pedestrian Struck (with Injury),2025,1,16,7,55,13XX BLOCK ALBERNI ST,West End,490714.0,5459466.0
Vehicle Collision or Pedestrian Struck (with Injury),2025,1,31,19,41,15XX QUEBEC ST,Mount Pleasant,492606.0,5457758.0
Vehicle Collision or Pedestrian Struck (with Injury),2025,1,4,17,35,1XX BLOCK W 49TH AVE,Oakridge,492079.0,5452566.0
Vehicle Collision or Pedestrian Struck (with Injury),2025,1,6,12,29,22XX BLOCK CLARK DR,Mount Pleasant,494366.0,5456923.0
Vehicle Collision or Pedestrian Struck (with Injury),2025,1,28,18,42,26XX BLOCK SE MARINE DR,Killarney,496163.0,5450506.0
Vehicle Collision or Pedestrian Struck (with Injury),2025,1,27,9,22,26XX TRANS CANADA HWY,Hastings-Sunrise,497713.0,5458543.0
Vehicle Collision or Pedestrian Struck (with Injury),2025,1,28,9,7,34XX KINGSWAY AVE,Renfrew-Collingwood,497677.0,5453266.0
Vehicle Collision or Pedestrian Struck (with Injury),2025,1,16,17,51,35XX BLOCK RENFREW ST,Renfrew-Collingwood,496778.0,5455587.0
Vehicle Collision or Pedestrian Struck (with Injury),2025,1,3,8,40,3XX KINGSWAY AVE,Mount Pleasant,492965.0,5456372.0
Vehicle Collision or Pedestrian Struck (with Injury),2025,1,15,14,39,45XX BLOCK OAK ST,Shaughnessy,490709.0,5454728.0
Vehicle Collision or Pedestrian Struck (with Injury),2025,1,10,19,35,4XX BLOCK SE MARINE DR,Sunset,492891.0,5450901.0
Vehicle Collision or Pedestrian Struck (with Injury),2025,1,29,10,52,5XX BLOCK E HASTINGS ST,Strathcona,493229.0,5458724.0
Vehicle Collision or Pedestrian Struck (with Injury),2025,1,4,14,58,5XX BLOCK SMITHE ST,Central Business District,491294.0,5458500.0
Vehicle Collision or Pedestrian Struck (with Injury),2025,1,20,14,10,67XX BLOCK KNIGHT ST,Victoria-Fraserview,494363.0,5452261.0
Vehicle Collision or Pedestrian Struck (with Injury),2025,1,8,16,59,6XX BLOCK E HASTINGS ST,Strathcona,493371.0,5458719.0
Vehicle Collision or Pedestrian Struck (with Injury),2025,1,21,17,59,6XX EXPO BLVD,Central Business District,492074.0,5458425.0
Vehicle Collision or Pedestrian Struck (with Injury),2025,1,16,12,19,8X NELSON ST,Central Business District,491588.0,5457995.0
Vehicle Collision or Pedestrian Struck (with Injury),2025,1,20,6,42,8XX BLOCK HAMILTON ST,Central Business District,491547.0,5458441.0
Vehicle Collision or Pedestrian Struck (with Injury),2025,1,16,11,19,9XX BLOCK HELMCKEN ST,Central Business District,490776.0,5458547.0
Vehicle Collision or Pedestrian Struck (with Injury),2025,1,20,15,55,BURRARD ST / ALBERNI ST,West End,491151.0,5459036.0
